		
age	CATEGORY	BARCODE
Play and Learn-Dinosaurs	Puzzle	TY1000
Early Learner-Month Of the Year	Puzzle	TY1001
Early Learner-What People do	Puzzle	TY1002
Early Learner-What things are made of	Puzzle	TY1003
Early Learner-My 10 Rules	Puzzle	TY1004
Antonyms Word Opposites	Puzzle	TY1008
Fun with Living and Non-Living	Puzzle	TY1012
Tray Puzzle-My first clock	Wooden Toy	TY1014
Tray Puzzle-Wild Animals	Wooden Toy	TY1015
Tray Puzzle-Clock Joker	Wooden Toy	TY1016
Cobblers Bench	Wooden Toy	TY1017
Theme Puzzle-Snail	Wooden Toy	TY1018
Baby Puzzle-Flowers	Puzzle	TY1020
Mini Puzzle-Ben Ten	Puzzle	TY1021
Tray Puzzle-Fractions different shapes	Wooden Toy	TY1022
Baby Puzzle-Transport	Puzzle	TY1023
Tray puzzle-Seal	Wooden Toy	TY1024
Take apart-Hen	Wooden Toy	TY1025
Sewing Toy-Rhino	Wooden Toy	TY1028
Mini Puzzle-Bob the Builder	Puzzle	TY1029
Shape Sorter Engine	Wooden Toy	TY1030
Number and Bead set	Wooden Toy	TY1031
Take apart puzzle - Puppy	Wooden Toy	TY1032
Theme Puzzle-Duck	Wooden Toy	TY1033
Tray puzzle-Alphabet jigsaw snake puzzle	Wooden Toy	TY1035
Tray puzzle-Fractions-Triangle	Wooden Toy	TY1036
Tray Puzzle-Farm Animals	Wooden Toy	TY1038
Tray Puzzle-Fruits	Wooden Toy	TY1039
Tray Puzzle-Shoe lacing	Wooden Toy	TY1040
Tray Puzzle-Vehicles	Wooden Toy	TY1041
Tray Puzzle-My numbers Duck	Wooden Toy	TY1043
Beadler	Wooden Toy	TY1044
Post-It House	Wooden Toy	TY1045
Vegi-products Match up Puzzles	Wooden Toy	TY1046
Tray Puzzle-Fraction Board	Wooden Toy	TY1047
Abacus	Wooden Toy	TY1048
Make and Break Car	Plastic Toy	TY1050
Maze Chase-Animals and their products	Wooden Toy	TY1051
Tray Puzzle-Logic Block set	Wooden Toy	TY1053
Shapes around us	Wooden Toy	TY1054
Hammer the Ball	Plastic Toy	TY1065
Tray puzzle-Shape Magic	Puzzle	TY1069
Early Learner-Let's Shop	Board Game	TY1071
Tray Puzzle-Mode of Transport	Wooden Toy	TY1077
Snail-Shape sorter	Plastic Toy	TY1086
Big lego Blocks	Plastic Toy	TY1088
Lego Blocks	Plastic Toy	TY1089
Toss-a-ring	Plastic Toy	TY1092
Mamory Game-Match 'n' Learn	Puzzle	TY1093
Bowling	Plastic Toy	TY1094
Tray Puzzle-Small Alphabet	Wooden Toy	TY1103
Tray Puzzle-Part Of  Face(Boy)	Wooden Toy	TY1104
Postman Pat	Puzzle	TY1108
Early Learner-Small Medium Large	Puzzle	TY1109
Early Learner-All the 7 Days	Puzzle	TY1110
Colours in Nature	Wooden Toy	TY1111
Head 'n' Tail	Wooden Toy	TY1112
Peg a fruit a number game	Wooden Toy	TY1113
Step By Step Phonics-The Blue word chain	Puzzle	TY1114
Short Vowels	Puzzle	TY1115
Shape Sorter-Football	Wooden Toy	TY1118
Digestive System	Puzzle	TY1119
Maze Chase-Number Game	Wooden Toy	TY1121
Tray Puzzle-Transport	Wooden Toy	TY1122
Tray Puzzle-Shapes	Wooden Toy	TY1123
Early Learner-Growing Up	Puzzle	TY1124
Animal Babies	Puzzle	TY1125
Early Learner-Parts of Body	Puzzle	TY1126
Fishing Challenge	Wooden Toy	TY1127
Early Learner-Nature Cycles	Puzzle	TY1128
Early Learner-What goes together?	Puzzle	TY1129
Sewing Toy-Tree with Fruit	Wooden Toy	TY1130
Tray Puzzle-Vegetable	Wooden Toy	TY1131
Tray Puzzle-Birds-1	Wooden Toy	TY1133
Chakla Belan	Wooden Toy	TY1135
Shoe Lacing	Wooden Toy	TY1136
Plastic Tool Box	Plastic Toy	TY1139
Creat-a-shape	Plastic Toy	TY1145
