		
TITLE	CATEGORY	BARCODE
Step By Step Phonics-More Compound Words	Puzzle	TY1005
Homophones	Puzzle	TY1009
Synonyms	Puzzle	TY1011
Tray Puzzle-Addition board	Wooden Toy	TY1037
Word Builder	Wooden Toy	TY1055
Disney Pixar-Finding Nemo 2	Puzzle	TY1056
Walt Disney's 101 Dalmatians	Puzzle	TY1057
Mindspace	Board Game	TY1058
Spider-Man	Puzzle	TY1066
Tray Puzzle-Map of World	Wooden Toy	TY1068
Pooh Puzzle	Puzzle	TY1072
Geoboard	Plastic Toy	TY1073
Quiz Time	Board Game	TY1074
Puzzle world-Build The Seven	Plastic Toy	TY1075
Stacrobats	Plastic Toy	TY1076
Lexicon	Card Game	TY1081
Brain Power Su-doku	Plastic Toy	TY1083
Memory Game 1	Plastic Toy	TY1085
Grand Prix	Card Game	TY1087
Brick to Brick	Card Game	TY1090
Early Learner-Play'n'spell	Puzzle	TY1099
The Little Mermaid Puzzle 1	Puzzle	TY1100
Cinderella puzzle	Puzzle	TY1101
Long Vowels	Puzzle	TY1106
Step By Step Phonics-The Green word chain	Puzzle	TY1107
Tray puzzle-Hindi Alphabets Tray	Wooden Toy	TY1134
Maps of India	Puzzle	TY1143
Treasure Island 2	Board Game	TY1144
Master Maths	Board Game	TY1151
Disney Pixar-Wall.E	Puzzle	TY1155
Jr.Detective	Board Game	TY1160
Weaving Loom	Plastic Toy	TY1161
Fraction Kit	Puzzle	TY1168
Jodo Cubes	Plastic Toy	TY1169
Tower of Hanoi	Wooden Toy	TY1170
Ball Puzzle	Wooden Toy	TY1171
Pictionary junior	Board Game	TY1174
Sudoku-Mini	Board Game	TY1178
Whatever Next!	Board Game	TY1179
Water Cycle	Board Game	TY1181
Tray Puzzle-Month's of the year	Wooden Toy	TY1203
Discover India	Board Game	TY1206
Fractions Eureka!	Board Game	TY1207
Wordperfect	Plastic Toy	TY1211
Plot-4 ( green color stand)	Plastic Toy	TY1217
Animal Families & their Homes	Puzzle	TY1233
Crossword	Board Game	TY1240
Duck Tales Game	Board Game	TY1241
Taj Mahal	Puzzle	TY1243
Mechanix	Plastic Toy	TY1245
Sentences game for juniors	Board Game	TY1246
Who am I?	Card Game	TY1250
Twister	Board Game	TY1255
Candy land	Board Game	TY1256
My Fashion	Card Game	TY1258
Fun with Fractions	Puzzle	TY1261
Tom & Jerry 2in1	Puzzle	TY1263
Reversi	Board Game	TY1269
Talk Back	Card Game	TY1270
Looney Tunes 2 in 1 puzzle	Puzzle	TY1276
Why?	Puzzle	TY1292
Superman Man of Steel	Puzzle	TY1294
Marvel Spiderman and friends 2in 1	Puzzle	TY1296
Scooby-doo racing 3 in 1Puzzle	Puzzle	TY1297
Doraemon 4in1Puzzle	Puzzle	TY1298
Memory Game-Toy Story	Puzzle	TY1299
Our Five senses	Puzzle	TY1300
Learn words with Noddy	Puzzle	TY1302
Pattern Play	Plastic Toy	TY1303
Chase Game	Board Game	TY1305
Go Diego Go 4in 1	Puzzle	TY1306
Looney Tunes 4 in 1 puzzle	Puzzle	TY1307
Batman 2 in 1 puzzle	Puzzle	TY1308
Noddy 3in1 Puzzle	Puzzle	TY1309
2in1 Dora Puzzle	Puzzle	TY1310
My First Charades	Board Game	TY1312
Adventure	Board Game	TY1313
Ludo,Snakes and ladders	Board Game	TY1314
Children's Bank	Board Game	TY1315
Gotcha! Whose Profession Is It Anyway?	Board Game	TY1318
Brain Boosters 1	Board Game	TY1319
Brain Booster 2	Board Game	TY1320
Ben10 Alien force Puzzle-1	Puzzle	TY1321
Coco Crazy	Plastic Toy	TY1322
Dominoes Playing Card Game	Card Game	TY1323
Understanding Pattern	Knowledge	TY1331
Countires of the world	Knowledge	TY1333
Early Years-Simple Sums	Puzzle	TY1335
Domestic Animals & Their Young Ones Chart	Chart	TY1347
Hindi Chart	Chart	TY1348
Building Blocks - 2	Plastic Toy	TY1351
Homonyms	Card Game	TY1353
Step By Step Phonics-Look & Say	Board Game	TY1354
The Gingerbread Man	Puzzle	TY1356
Aladdin & The Magic Lamp	Puzzle	TY1357
Geometrical Pin Board	Wooden Toy	TY1361
Tray Puzzle-Hindi letters	Wooden Toy	TY1364
3 Toy Story	Puzzle	TY1370
Memory Play	Puzzle	TY1372
Link 'N' Spell letters at play	Plastic Toy	TY1377
Auto set with People	Plastic Toy	TY1380
Geo Trax Rail & Road System	Plastic Toy	TY1381
Vicky Time	Puzzle	TY1384
Archies-Puzzle Pal	Puzzle	TY1387
Catch N Hook	Board Game	TY1391
Tic-tac-toe	Plastic Toy	TY1395
Candy Land-2	Board Game	TY1397
Build a Sentence	Puzzle	TY1402
Tom and Jerry-Fun for all	Puzzle	TY1408
Noddy and Friends	Puzzle	TY1409
Fun with Sums Addition & Subtraction	Puzzle	TY1412
Brain Quest-Grade 3	Card Game	TY1415
Brain Quest-Grade 2	Card Game	TY1416
Hindi Activity Cards	Card Game	TY1418
Kannada Activity Cards	Card Game	TY1419
Fun with words	Puzzle	TY1421
Let's Learn Math Skills With Beads	Plastic Toy	TY1422
Superman Day of Doom	Puzzle	TY1428
What Does Not Belong?	Card Game	TY1431
Spell & Build words	Puzzle	TY1443
Reading adventure	Board Game	TY1444
New Know your world	Puzzle	TY1445
Disney's Guess Who?	Board Game	TY1446
Maths Whiz	Board Game	TY1450
Let's be Green	Board Game	TY1451
Fast track	Board Game	TY1452
Disney Princess 3 in 1 puzzle	Puzzle	TY1456
Spider Sense Spider-man	Puzzle	TY1457
Digimon Data Squad	Puzzle	TY1458
Cube Pattern Box	Wooden Toy	TY1464
Mickey & Friends 3puzzle in 1	Puzzle	TY1465
Winnie the Pooh	Puzzle	TY1466
Airport	Puzzle	TY1467
Aladin	Puzzle	TY1469
Disney Pixar-Cars 2	Puzzle	TY1470
The lion King puzzle	Puzzle	TY1472
Disney Pixar-Toy Story 3in1 puzzles	Puzzle	TY1474
Learning Series-What is different?	Puzzle	TY1489
Cone Blaster-Action Zone	Plastic Toy	TY1497
Wordperfect Junior	Plastic Toy	TY1506
Make a Cube	Wooden Toy	TY1513
Geo.Matrix	Puzzle	TY1514
Sequence Rummy	Card Game	TY1515
Birds jigsaw puzzle	Puzzle	TY1516
Plot-4 Vertical ( blue color Stand)	Plastic Toy	TY1517
Classic Chess	Wooden Toy	TY1519
Junior Scrabble	Board Game	TY1523
Count down	Plastic Toy	TY1524
The game of life	Board Game	TY1525
Learning to read Sight words	Puzzle	TY1530
Animal Discovery Pack	Puzzle	TY1531
Literacy pack-3	Puzzle	TY1533
In the Zoo	Card Game	TY1534
Speller Senior	Board Game	TY1535
Amazing Me	Board Game	TY1536
Learning to read Homonyms	Card Game	TY1537
Learning to read Homophones	Puzzle	TY1538
Four in a row-thinking puzle	Puzzle	TY1540
Nature Quiz	Card Game	TY1541
Learning to read First Words	Card Game	TY1542
Connect it-Electro Junior	Board Game	TY1544
Early Memory Games-What's Missing ?	Card Game	TY1547
Be Quick-Arithmetic	Plastic Toy	TY1549
Be Quick-Environmental Studies	Plastic Toy	TY1550
Mad Magazine game	Board Game	TY1553
Jai Bharat	Board Game	TY1555
Be Quick-Pre school	Plastic Toy	TY1556
Kogworks	Plastic Toy	TY1560
Link Ups 2	Puzzle	TY1561
Let's Find Out Where?	Puzzle	TY1564
Let's Find Out When?	Puzzle	TY1565
Let's Find Out Who?	Puzzle	TY1566
Stay Alive!	Plastic Toy	TY1567
